,SID,TID,HG,GID,AbNr,Min,HZ,PR,SpSt,GS,AP,Ergeb,Phase,Spielphase,VorT,VNr,2VNr,3VNr,4VNr,5VNr,6VNr,7VNr,8VNr,9VNr,10VNr,11VNr,12VNr,SNr,Körperteil,xFe,yFe,xG
142,6,FWK,H,FCN,12,68,2,0,4:3,0,19,Tor,AusDemSpiel,USO,TieferPass,,,,,,,,,,,,,,L,-0.0,38.0,0.3961212794497297
143,6,FWK,H,FCN,13,70,2,0,,1,20,Block,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,,R,-4.5,43.5,0.18617393378033215
144,6,FCN,G,FWK,9,76,2,0,,-1,21,Vorbei,AusDemSpiel,USO,Dribbling,8.0,16.0,,,,,,,,,,,7.0,R,11.0,36.0,0.09627266971004868
145,6,FWK,H,FCN,14,79,2,0,,1,22,Save,AusDemSpiel,EB,Dribbling,,,,,,,,,,,,,,L,15.0,45.5,0.07302377944186475
146,6,FCN,G,FWK,10,80,2,0,,-1,23,Vorbei,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,16.0,R,-11.0,18.5,0.0005584106525080677
147,6,FCN,G,FWK,11,81,2,0,4:4,-1,24,Tor,AusDemSpiel,EB,KontrollierteVorlage,18.0,7.0,18.0,16.0,4.0,10.0,19.0,8.0,23.0,,,,19.0,R,-3.5,48.5,0.423810942097241
148,6,FWK,H,FCN,15,83,2,0,,0,25,Vorbei,Ecke,E,HoheFlanke,,,,,,,,,,,,,,K,-5.0,48.0,0.08583520567619381
149,6,FCN,G,FWK,12,84,2,0,,0,26,Vorbei,AusDemSpiel,USO,HoheFlanke,19.0,18.0,7.0,,,,,,,,,,10.0,K,-4.5,45.5,0.09625525820052762
150,6,FCN,G,FWK,13,85,2,0,,0,27,Vorbei,Ecke,E,HoheFlanke,10.0,,,,,,,,,,,,16.0,R,-1.5,45.5,0.0034562253672053883
151,7,FCN,H,FCA,1,5,1,0,,0,1,Save,AusDemSpiel,USO,Dribbling,8.0,,,,,,,,,,,,10.0,L,-10.0,38.5,0.048782209858973816
152,7,FCN,H,FCA,2,5,1,0,,0,2,Block,Ecke,E,HoheFlanke,8.0,,,,,,,,,,,,10.0,L,7.5,37.0,0.03516236870106136
153,7,FCN,H,FCA,3,5,1,0,,0,2,Save,Ecke,nE,UnkontrollierteVorbereitung,,,,,,,,,,,,,27.0,L,2.0,45.0,0.1293275198442925
154,7,FCN,H,FCA,4,9,1,0,,0,3,Block,AusDemSpiel,EB,Dribbling,19.0,7.0,8.0,20.0,26.0,,,,,,,,10.0,L,-8.5,44.5,0.05376150275706395
155,7,FCN,H,FCA,5,9,1,0,,0,3,Block,AusDemSpiel,EB,KontrollierteVorlage,8.0,,,,,,,,,,,,7.0,L,5.0,43.0,0.12830141638829662
156,7,FCN,H,FCA,6,9,1,0,,0,3,Block,AusDemSpiel,EB,KontrollierteVorlage,7.0,,,,,,,,,,,,10.0,L,-5.5,43.5,0.056876353068041396
157,7,FCN,H,FCA,7,10,1,0,,0,3,Block,AusDemSpiel,EB,UnkontrollierteVorbereitung,27.0,,,,,,,,,,,,4.0,R,-4.5,43.0,0.14455714770129616
158,7,FCN,H,FCA,8,12,1,0,,0,4,Save,AusDemSpiel,USO,Dribbling,7.0,27.0,,,,,,,,,,,10.0,L,-8.0,34.0,0.03031925428192341
159,7,FCN,H,FCA,9,17,1,0,1:0,0,5,Tor,AusDemSpiel,USO,Dribbling,26.0,4.0,27.0,,,,,,,,,,7.0,R,6.0,41.5,0.35541610750089475
160,7,FCN,H,FCA,10,18,1,0,,1,6,Block,AusDemSpiel,USO,FlacheHereingabe,7.0,8.0,26.0,,,,,,,,,,10.0,R,-8.0,43.5,0.09685539512153202
161,7,FCN,H,FCA,11,18,1,0,,1,6,Save,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,8.0,L,-10.0,43.0,0.050588194504663196
162,7,FCN,H,FCA,12,20,1,0,,1,7,Save,AusDemSpiel,USO,KontrollierteVorlage,8.0,,,,,,,,,,,,10.0,L,8.0,37.0,0.05416016713302812
163,7,FCN,H,FCA,13,24,1,0,,1,8,Save,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,26.0,R,-7.5,32.5,0.033994995865445715
164,7,FCA,G,FCN,1,29,1,0,,-1,9,Vorbei,AusDemSpiel,USO,Dribbling,,,,,,,,,,,,,,L,2.0,22.5,0.0074137151783163924
165,7,FCN,H,FCA,14,31,1,0,,1,10,Block,AusDemSpiel,USO,Dribbling,19.0,4.0,,,,,,,,,,,10.0,L,-12.0,39.5,0.042526170253808
166,7,FCN,H,FCA,15,34,1,0,,1,11,Vorbei,AusDemSpiel,USO,Dribbling,27.0,1.0,,,,,,,,,,,10.0,L,-10.0,42.0,0.04637886790203673
167,7,FCA,G,FCN,2,44,2,0,,-1,12,Block,AusDemSpiel,EB,Dribbling,,,,,,,,,,,,,,R,16.0,40.0,0.01875526508294508
168,7,FCA,G,FCN,3,44,2,0,,-1,13,Block,AusDemSpiel,USO,UnkontrollierteVorbereitung,,,,,,,,,,,,,,R,-6.5,35.5,0.01840125358509763
169,7,FCN,H,FCA,16,46,2,0,,1,14,Save,AusDemSpiel,USO,TieferPass,27.0,,,,,,,,,,,,8.0,L,-2.0,38.0,0.4078186777442137
170,7,FCN,H,FCA,17,47,2,0,,1,15,Alu,Ecke,E,HoheFlanke,20.0,,,,,,,,,,,,16.0,R,-0.0,47.0,0.2337173897774126
171,7,FCA,G,FCN,4,49,2,0,,-1,16,Vorbei,AusDemSpiel,nEW,Dribbling,,,,,,,,,,,,,,R,11.5,33.5,0.041389527458012464
