,SID,TID,HG,GID,AbNr,Min,HZ,PR,SpSt,GS,AP,Ergeb,Phase,VNr,2VNr,3VNr,4VNr,5VNr,6VNr,7VNr,8VNr,9VNr,10VNr,11VNr,12VNr,SNr,xFe,yFe,xG
226,13,60M,G,FCN,3,9,1,0,,0,3,Save,AusDemSpiel,,,,,,,,,,,,,,0.5,37.0,0.014131285706504317
227,13,FCN,H,60M,2,10,1,0,,0,4,Vorbei,AusDemSpiel,9.0,6.0,7.0,23.0,,,,,,,,,7.0,-15.0,45.0,0.13046515720348897
228,13,60M,G,FCN,4,14,1,0,,0,5,Block,AusDemSpiel,,,,,,,,,,,,,,-7.5,39.5,0.0032209891372164917
229,13,60M,G,FCN,5,18,1,0,,0,6,Block,AusDemSpiel,,,,,,,,,,,,,,-1.0,33.5,0.007532541122183817
230,13,60M,G,FCN,6,18,1,0,,0,6,Block,AusDemSpiel,,,,,,,,,,,,,,-6.5,38.0,0.11807469127928949
231,13,FCN,H,60M,3,18,1,0,,0,7,Vorbei,AusDemSpiel,7.0,,,,,,,,,,,,8.0,-4.5,38.0,0.15464663537735107
232,13,FCN,H,60M,4,22,1,0,,0,8,Vorbei,Ecke,,,,,,,,,,,,,6.0,6.5,36.0,0.1132576783588027
233,13,FCN,H,60M,5,25,1,0,,0,9,Block,AusDemSpiel,,,,,,,,,,,,,20.0,13.5,31.0,0.006294631359750642
234,13,60M,G,FCN,7,28,1,0,,0,10,Save,AusDemSpiel,,,,,,,,,,,,,,-0.0,27.0,0.030348025323792608
235,13,FCN,H,60M,6,33,1,0,,0,11,Vorbei,AusDemSpiel,8.0,16.0,26.0,,,,,,,,,,7.0,-5.5,35.0,0.1839859513991953
236,13,60M,G,FCN,8,35,1,0,,0,12,Vorbei,AusDemSpiel,,,,,,,,,,,,,,1.0,43.5,0.05433732568705371
237,13,60M,G,FCN,9,37,1,0,,0,13,Vorbei,Ecke,,,,,,,,,,,,,,6.0,51.5,0.0700030028988731
238,13,FCN,H,60M,7,40,1,0,,0,14,Save,AusDemSpiel,7.0,,,,,,,,,,,,9.0,2.0,43.5,0.06682419329607216
239,13,FCN,H,60M,8,40,1,0,1:0,0,14,Tor,AusDemSpiel,,,,,,,,,,,,,7.0,6.5,47.5,0.39258241426564744
240,13,60M,G,FCN,10,44,2,0,,-1,15,Vorbei,Freistoss,,,,,,,,,,,,,,3.0,18.5,0.013548975952495983
241,13,FCN,H,60M,9,51,2,0,,1,16,Save,AusDemSpiel,8.0,26.0,6.0,,,,,,,,,,10.0,10.5,39.5,0.053284614849574786
242,13,60M,G,FCN,11,57,2,0,,-1,17,Vorbei,AusDemSpiel,,,,,,,,,,,,,,-12.0,45.0,0.34241743395146196
243,13,FCN,H,60M,10,59,2,0,,1,18,Save,AusDemSpiel,4.0,23.0,6.0,8.0,20.0,4.0,,,,,,,18.0,14.0,33.0,0.03304604276891437
244,13,FCN,H,60M,11,60,2,0,,1,19,Save,Freistoss,,,,,,,,,,,,,8.0,-14.0,29.0,0.047836274817494445
245,13,60M,G,FCN,12,61,2,0,1:1,-1,20,Tor,AusDemSpiel,,,,,,,,,,,,,,8.5,45.5,0.31234006093269123
246,13,60M,G,FCN,13,65,2,0,,0,21,Save,AusDemSpiel,,,,,,,,,,,,,,-4.5,41.5,0.06691586535545999
247,13,FCN,H,60M,12,68,2,0,,0,22,Block,Freistoss,8.0,5.0,8.0,6.0,,,,,,,,,16.0,5.5,48.5,0.2156885236992217
248,13,FCN,H,60M,13,71,2,0,,0,23,Vorbei,AusDemSpiel,7.0,18.0,8.0,7.0,23.0,6.0,5.0,16.0,20.0,,,,10.0,-2.5,37.5,0.12150296768560655
249,13,FCN,H,60M,14,73,2,0,,0,24,Vorbei,AusDemSpiel,18.0,5.0,18.0,,,,,,,,,,7.0,13.5,36.0,0.10011895079521103
250,13,FCN,H,60M,15,77,2,0,,0,25,Block,AusDemSpiel,10.0,,,,,,,,,,,,6.0,-14.5,38.5,0.04430220512308666
251,13,60M,G,FCN,14,83,2,0,,0,26,Save,AusDemSpiel,,,,,,,,,,,,,,12.0,34.5,0.10873576381702213
